City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ravar,IR,80.29,clear sky,31.2656,56.8055,computertik
1,Venice,US,92.14,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
5,Kavieng,PG,81.95,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
6,Hithadhoo,MV,81.3,broken clouds,-0.6,73.0833,Scoop Guest House
14,Dakar,SN,81.48,broken clouds,14.6937,-17.4441,Novotel Dakar
22,Sao Filipe,CV,78.12,light rain,14.8961,-24.4956,Hotel Xaguate
27,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
29,Atar,MR,92.73,overcast clouds,20.5169,-13.0499,Oumou Elghoura
30,Salinopolis,BR,78.49,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
36,Brigantine,US,90.03,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
41,Sile,TR,76.57,clear sky,41.1754,29.6133,Phellos Suites
44,San Antonio,US,99.05,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
49,Palauig,PH,78.89,heavy intensity rain,15.435,119.9045,Villa Raphael Resort
51,Gizo,SB,82.87,overcast clouds,-8.103,156.8419,Imagination Island
52,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Central
54,Butaritari,KI,81.14,light rain,3.0707,172.7902,Isles Sunset Lodge
55,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
57,Fez,MA,79.05,clear sky,34.0372,-4.9998,Hotel Mounia Fès
58,Mbuji-Mayi,CD,79.59,scattered clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
59,North Bend,US,83.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
60,Bintulu,MY,75.45,overcast clouds,3.1667,113.0333,900 Boutique INN
63,Albany,US,89.64,overcast clouds,42.6001,-73.9662,
64,La Concordia,NI,75.76,moderate rain,13.1953,-86.1667,Parque de Ferias
65,Kahului,US,93.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
69,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
70,Minab,IR,89.4,clear sky,27.1467,57.0801,Bam campground
76,Gushikawa,JP,81.63,clear sky,26.3544,127.8686,Kirari Guest House
77,Lorengau,PG,81.43,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
79,Cabo San Lucas,MX,89.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
83,Jamestown,US,83.84,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
85,Filadelfia,US,90.93,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
90,Djibo,BF,86.25,scattered clouds,14.1022,-1.6306,Centre Des Ressources DPENA
94,Bubaque,GW,79.07,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
96,Laguna,US,94.33,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
99,Kavaratti,IN,80.69,overcast clouds,10.5669,72.642,Green leaf
103,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
104,Saint George,US,98.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
107,Atuona,PF,76.46,scattered clouds,-9.8,-139.0333,Villa Enata
114,Lancaster,US,87.94,scattered clouds,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
118,Coahuayana,MX,83.03,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
121,Hilo,US,87.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
122,Show Low,US,84.49,broken clouds,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
123,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
133,Vilhena,BR,80.11,light rain,-12.7406,-60.1458,Hotel Mirage
140,Lompoc,US,86.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
142,Nuevo Progreso,MX,91.54,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
144,Marrakesh,MA,87.87,few clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
145,Charleston,US,88.02,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
146,Bambui,BR,75.2,broken clouds,-20.0064,-45.9769,Paulinelli Palace Hotel
