City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Bluff,-46.6,168.3333,64.8,66,100,7.36,2022-02-14 04:50:26
1,Georgetown,5.4112,100.3354,87.73,74,20,5.75,2022-02-14 04:47:55
2,Sikeston,36.8767,-89.5879,30.09,64,0,5.73,2022-02-14 04:50:26
3,Iroquois Falls,48.7669,-80.6831,-23.66,99,44,3.24,2022-02-14 04:50:27
4,Upernavik,72.7868,-56.1549,1.58,92,100,17.6,2022-02-14 04:50:27
5,Ushuaia,-54.8,-68.3,40.66,75,40,20.71,2022-02-14 04:50:27
6,Busselton,-33.65,115.3333,92.05,40,0,0.83,2022-02-14 04:50:28
7,Stanger,-29.3282,31.2895,76.91,87,94,12.73,2022-02-14 04:50:28
8,Benalla,-36.55,145.9833,94.98,21,1,7.05,2022-02-14 04:50:28
9,Rikitea,-23.1203,-134.9692,78.91,71,1,14.12,2022-02-14 04:50:29
10,Ternate,0.8,127.4,83.03,70,83,5.44,2022-02-14 04:50:29
11,Iqaluit,63.7506,-68.5145,-16.87,63,100,2.3,2022-02-14 04:50:29
12,Bredasdorp,-34.5322,20.0403,67.32,77,100,10.36,2022-02-14 04:50:30
13,Kapaa,22.0752,-159.319,75.18,68,0,18.41,2022-02-14 04:50:30
14,Cape Town,-33.9258,18.4232,68.41,78,0,12.66,2022-02-14 04:46:18
15,Tiksi,71.6872,128.8694,-10.44,89,25,8.9,2022-02-14 04:50:31
16,Begunitsy,59.5855,29.3176,34.29,95,100,11.41,2022-02-14 04:50:31
17,Severo-Kurilsk,50.6789,156.125,26.46,70,82,16.22,2022-02-14 04:50:32
18,Mataura,-46.1927,168.8643,64.47,45,100,5.88,2022-02-14 04:50:32
19,Claudio,-20.4433,-44.7658,63.72,96,16,1.7,2022-02-14 04:50:18
20,Zhaotong,27.3167,103.7167,49.98,52,26,4.43,2022-02-14 04:50:33
21,Santiago,-33.4569,-70.6483,69.85,64,0,8.05,2022-02-14 04:46:14
22,Wattegama,6.7989,81.4808,81.52,59,66,11.48,2022-02-14 04:50:33
23,Brae,60.3964,-1.353,40.91,87,100,31.76,2022-02-14 04:50:33
24,Atuona,-9.8,-139.0333,77.34,80,22,13.87,2022-02-14 04:50:34
25,Torbay,47.6666,-52.7314,29.75,88,100,9.22,2022-02-14 04:50:34
26,Bengkulu,-3.8004,102.2655,84.96,63,72,6.38,2022-02-14 04:49:17
27,Leningradskiy,69.3833,178.4167,-17.79,90,80,5.93,2022-02-14 04:50:35
28,Jamestown,42.097,-79.2353,13.32,72,20,3.44,2022-02-14 04:50:35
29,Campbell River,50.0163,-125.2446,40.44,100,100,0.0,2022-02-14 04:49:28
30,Erdenet,49.0333,104.0833,-5.4,84,98,1.25,2022-02-14 04:50:36
31,Aswan,24.0934,32.907,56.5,38,0,5.75,2022-02-14 04:50:36
32,Provideniya,64.3833,-173.3,-7.49,71,0,11.18,2022-02-14 04:50:36
33,Hammerfest,70.6634,23.6821,27.05,93,75,10.36,2022-02-14 04:50:37
34,Pevek,69.7008,170.3133,-16.96,98,100,7.81,2022-02-14 04:50:37
35,Bambous Virieux,-20.3428,57.7575,84.22,94,75,8.05,2022-02-14 04:50:37
36,Deputatskiy,69.3,139.9,-10.93,95,95,4.41,2022-02-14 04:50:38
37,Nakusp,50.2499,-117.8023,28.74,86,94,1.14,2022-02-14 04:50:38
38,Yulara,-25.2406,130.9889,96.64,8,3,12.66,2022-02-14 04:50:38
39,Beringovskiy,63.05,179.3167,-23.73,97,40,9.82,2022-02-14 04:50:39
40,Chokurdakh,70.6333,147.9167,-9.13,99,81,9.04,2022-02-14 04:50:39
41,Mount Gambier,-37.8333,140.7667,76.91,50,10,16.11,2022-02-14 04:50:39
42,Port Lincoln,-34.7333,135.8667,72.68,67,15,11.74,2022-02-14 04:45:49
43,Sitka,57.0531,-135.33,40.89,81,100,11.5,2022-02-14 04:50:40
44,Thompson,55.7435,-97.8558,-23.64,76,0,8.05,2022-02-14 04:50:40
45,Simnas,54.4,23.65,29.97,75,97,13.33,2022-02-14 04:50:41
46,Mombasa,-4.0547,39.6636,77.85,79,43,4.14,2022-02-14 04:50:41
47,Mata,40.683,-7.4592,45.61,97,41,3.53,2022-02-14 04:50:41
48,Victoria,22.2855,114.1577,68.97,71,39,8.99,2022-02-14 04:47:26
49,Ascension,30.2169,-90.9001,44.6,73,0,0.0,2022-02-14 04:50:42
50,Umba,66.6871,34.3429,27.9,97,100,11.7,2022-02-14 04:50:42
51,Along,28.1667,94.7667,70.39,24,0,1.07,2022-02-14 04:50:43
52,Port Macquarie,-31.4333,152.9167,76.96,66,90,10.09,2022-02-14 04:49:08
53,Hermanus,-34.4187,19.2345,67.89,77,85,19.17,2022-02-14 04:50:43
54,Lisakovsk,52.5369,62.4936,16.2,95,100,7.18,2022-02-14 04:50:44
55,Hobart,-42.8794,147.3294,71.02,65,75,9.22,2022-02-14 04:50:44
56,Kamarai,38.3,22.0,45.63,82,26,1.99,2022-02-14 04:50:44
57,Dikson,73.5069,80.5464,-5.66,92,70,22.28,2022-02-14 04:50:45
58,Masterton,-40.9597,175.6575,63.97,73,98,7.63,2022-02-14 04:49:19
59,Port Elizabeth,-33.918,25.5701,66.49,100,100,5.75,2022-02-14 04:50:45
60,Kununurra,-15.7667,128.7333,82.38,78,71,4.61,2022-02-14 04:50:46
61,Kahului,20.8947,-156.47,75.22,72,0,11.5,2022-02-14 04:50:46
62,Moree,-29.4667,149.85,93.22,21,40,6.91,2022-02-14 04:50:46
63,Kuusamo,65.9667,29.1833,28.44,100,100,8.05,2022-02-14 04:50:47
64,Tuatapere,-46.1333,167.6833,64.81,64,100,7.31,2022-02-14 04:50:47
65,Port Alfred,-33.5906,26.891,67.66,83,83,15.43,2022-02-14 04:50:47
66,Punta Arenas,-53.15,-70.9167,44.71,57,40,11.5,2022-02-14 04:49:42
67,Auki,-8.7676,160.7034,78.75,86,100,3.29,2022-02-14 04:50:48
68,Saint-Philippe,-21.3585,55.7679,85.55,78,26,11.77,2022-02-14 04:50:48
69,Guerrero Negro,27.9769,-114.0611,66.0,51,4,7.02,2022-02-14 04:50:49
70,Vaini,-21.2,-175.2,84.36,84,40,10.36,2022-02-14 04:50:49
71,Hithadhoo,-0.6,73.0833,82.36,72,79,12.97,2022-02-14 04:50:49
72,Airai,-8.9266,125.4092,74.26,59,28,2.26,2022-02-14 04:50:50
73,Kodiak,57.79,-152.4072,31.51,80,0,6.91,2022-02-14 04:50:50
74,Arraial Do Cabo,-22.9661,-42.0278,75.0,93,7,14.43,2022-02-14 04:50:17
75,General Roca,-39.0333,-67.5833,81.0,17,18,9.51,2022-02-14 04:50:51
76,Coralville,41.6764,-91.5805,12.15,65,100,3.44,2022-02-14 04:50:51
77,Tasiilaq,65.6145,-37.6368,22.69,81,100,26.82,2022-02-14 04:50:52
78,Tuktoyaktuk,69.4541,-133.0374,-31.0,68,40,10.36,2022-02-14 04:50:52
79,Ponta Do Sol,32.6667,-17.1,61.05,73,95,1.01,2022-02-14 04:50:52
80,Makakilo City,21.3469,-158.0858,71.92,58,20,12.66,2022-02-14 04:50:53
81,Yerbogachen,61.2767,108.0108,-4.99,89,71,4.63,2022-02-14 04:50:53
82,Dawlatabad,36.4141,64.9053,45.75,48,38,5.59,2022-02-14 04:50:54
83,Yakeshi,49.2833,120.7333,-10.32,93,100,5.48,2022-02-14 04:50:54
84,Vershino-Darasunskiy,52.35,115.5167,-2.88,75,60,3.78,2022-02-14 04:50:54
85,Rockhampton,-23.3833,150.5,87.69,48,75,12.66,2022-02-14 04:50:55
86,Cidreira,-30.1811,-50.2056,68.47,85,26,6.89,2022-02-14 04:50:55
87,Hambantota,6.1241,81.1185,82.74,78,40,16.11,2022-02-14 04:50:56
88,Bodden Town,19.2833,-81.25,76.93,85,1,1.99,2022-02-14 04:47:01
89,Bowen,-20.0167,148.2333,80.82,65,13,21.41,2022-02-14 04:50:56
90,Arica,-18.475,-70.3042,68.23,77,40,4.61,2022-02-14 04:46:36
