City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tiksi,RU,2022-08-05 18:01:26,71.6872,128.8694,40.82,95,83,3.96
1,Jamestown,US,2022-08-05 17:56:53,42.097,-79.2353,86.52,60,40,5.75
2,Constitucion,CL,2022-08-05 18:01:27,-35.3333,-72.4167,56.41,72,100,3.24
3,Homer,US,2022-08-05 18:01:27,59.6425,-151.5483,53.49,95,100,11.01
4,Maumere,ID,2022-08-05 18:01:28,-8.6199,122.2111,73.22,75,49,7.52
5,Punta Arenas,CL,2022-08-05 18:01:28,-53.15,-70.9167,42.12,60,69,4.79
6,Bluff,NZ,2022-08-05 18:01:11,-46.6,168.3333,49.62,89,65,8.01
7,Dubbo,AU,2022-08-05 18:01:29,-32.25,148.6167,51.93,93,100,9.22
8,Senno,RU,2022-08-05 18:01:29,59.5336,33.9167,70.14,62,27,5.57
9,Bethel,US,2022-08-05 17:57:49,41.3712,-73.414,93.36,60,95,3.0
10,Puerto Ayora,EC,2022-08-05 18:01:30,-0.7393,-90.3518,72.55,84,34,5.01
11,Esperance,AU,2022-08-05 18:01:30,-33.8667,121.9,49.84,71,95,5.44
12,Ushuaia,AR,2022-08-05 18:00:32,-54.8,-68.3,37.47,98,100,3.06
13,Atuona,PF,2022-08-05 18:01:30,-9.8,-139.0333,76.82,71,74,15.23
14,Itarema,BR,2022-08-05 18:01:31,-2.9248,-39.9167,84.56,60,4,17.16
15,Kahului,US,2022-08-05 18:01:31,20.8947,-156.47,81.84,82,7,1.01
16,Rikitea,PF,2022-08-05 18:01:32,-23.1203,-134.9692,70.93,62,97,21.25
17,Xingcheng,CN,2022-08-05 18:01:32,40.6167,120.7167,79.21,91,13,2.04
18,Mahebourg,MU,2022-08-05 18:01:32,-20.4081,57.7,70.25,69,6,13.87
19,Hovd,MN,2022-08-05 18:01:33,48.0056,91.6419,59.81,68,13,3.13
20,Pevek,RU,2022-08-05 18:01:33,69.7008,170.3133,33.82,99,100,4.18
21,Busselton,AU,2022-08-05 18:01:33,-33.65,115.3333,52.79,79,97,0.49
22,Yerofey Pavlovich,RU,2022-08-05 18:01:34,53.9667,121.9667,53.76,80,100,5.66
23,Klaksvik,FO,2022-08-05 18:01:34,62.2266,-6.589,54.52,77,34,10.02
24,Trat,TH,2022-08-05 18:01:35,12.5,102.5,79.88,96,100,4.59
25,Koszalin,PL,2022-08-05 18:01:35,54.1944,16.1722,65.8,87,98,14.12
26,Bengkulu,ID,2022-08-05 18:01:35,-3.8004,102.2655,74.1,84,72,4.23
27,Mount Darwin,ZW,2022-08-05 18:01:36,-16.7725,31.5838,63.86,41,0,4.23
28,Tabou,CI,2022-08-05 18:01:36,4.423,-7.3528,76.17,72,100,7.31
29,Saskylakh,RU,2022-08-05 18:01:36,71.9167,114.0833,47.79,86,22,1.77
30,Ringebu,NO,2022-08-05 18:01:37,61.5167,10.1667,61.83,49,84,3.0
31,Flinders,AU,2022-08-05 18:01:37,-34.5833,150.8552,55.38,75,0,7.0
32,Karasburg,NA,2022-08-05 18:01:37,-28.0167,18.75,64.62,26,100,1.34
33,Pisco,PE,2022-08-05 18:01:38,-13.7,-76.2167,63.01,77,82,7.52
34,Albany,US,2022-08-05 18:01:38,42.6001,-73.9662,89.02,64,87,1.01
35,Tasiilaq,GL,2022-08-05 18:01:38,65.6145,-37.6368,53.76,74,15,3.91
36,Vianopolis,BR,2022-08-05 18:01:39,-16.7419,-48.5164,85.55,18,48,1.97
37,Olot,ES,2022-08-05 18:01:39,42.181,2.4901,69.78,99,82,7.52
38,Comodoro Rivadavia,AR,2022-08-05 17:58:35,-45.8667,-67.5,46.26,61,40,16.11
39,Avarua,CK,2022-08-05 18:01:40,-21.2078,-159.775,73.45,73,40,12.66
40,Mataura,NZ,2022-08-05 18:01:40,-46.1927,168.8643,43.83,98,90,2.71
